cnpj,nome,uf,cidade,email,link,cnae_codigo,cnae_desc,data_hora
01.741.659/0001-61,UNIODONTO N FRIBURGO COOPERATIVA DE TRAB.ODONTOLOGICO L,RJ,Nova Friburgo,amaral@amaralcontabilidade.com,https://cnpj.biz/01741659000161,8650-0/99,Atividades de profissionais da área de saúde não especificadas anteriormente,2025-05-27 16:39:55
01.742.084/0001-00,AM ALIMENTOS LTDA,MG,Belo Horizonte,paranaiba_1@hotmail.com,https://cnpj.biz/01742084000100,4711-3/02,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados",2025-05-27 16:40:18
01.742.264/0001-83,TRANSPORTES ESTRELAO LTDA,RS,Marau,larissa.rodrigues@transportesestrelao.com.br,https://cnpj.biz/01742264000183,5250-8/03,"Agenciamento de cargas, exceto para o transporte marítimo",2025-05-27 16:40:43
01.742.316/0001-11,105 FM LTDA,GO,Goiânia,e-mail não cadastrado,https://cnpj.biz/01742316000111,6010-1/00,Atividades de rádio,2025-05-27 16:41:07
01.742.740/0001-66,AUTO POSTO CASTELO LTDA,MS,Campo Grande,e-mail não cadastrado,https://cnpj.biz/01742740000166,4731-8/00,Comércio varejista de combustíveis para veículos automotores,2025-05-27 16:41:32
01.742.820/0001-11,DUART SOM MUSIC LTDA,RO,Ji-Paraná,duartsom@gmail.com,https://cnpj.biz/01742820000111,4756-3/00,Comércio varejista especializado de instrumentos musicais e acessórios,2025-05-27 16:41:55
01.742.998/0001-62,BRASIL SUL COMERCIO LTDA,GO,Anápolis,autopostocerrado@hotmail.com,https://cnpj.biz/01742998000162,4731-8/00,Comércio varejista de combustíveis para veículos automotores,2025-05-27 16:42:19
01.743.320/0001-02,OFFICE LABOR SERVICOS ADMINISTRATIVOS LTDA,SP,Piedade,officelabor@gmail.com,https://cnpj.biz/01743320000102,9521-5/00,Reparação e manutenção de equipamentos eletroeletrônicos de uso pessoal e doméstico,2025-05-27 16:42:41
01.743.404/0001-38,FAVORITA TRANSPORTES LTDA,SP,Jandira,transportes@favorita.com.br,https://cnpj.biz/01743404000138,4930-2/02,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",2025-05-27 16:43:05
01.743.411/0001-30,PHOENIX CHEMICALS QUIMICA INDUSTRIAL LTDA,SP,Diadema,phoenix@phoenixchemicals.com.br,https://cnpj.biz/01743411000130,4684-2/99,Comércio atacadista de outros produtos químicos e petroquímicos não especificados anteriormente,2025-05-27 16:43:30
